product_id,original_id,name,brand,gender,master_category,sub_category,article_type,base_color,season,year,usage,image_url,price,stock,rating,review_count
PROD-15970,15970,Turtle Check Men Navy Blue Shirt,Turtle,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg,51.38,0,4.1,217
PROD-39386,39386,Peter England Men Party Blue Jeans,Peter England,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg,53.52,6,4.8,166
PROD-59263,59263,Titan Women Silver Watch,Titan,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg,92.06,8,4.4,317
PROD-21379,21379,Manchester United Men Solid Black Track Pants,Manchester,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg,44.08,10,3.8,308
PROD-53759,53759,Puma Men Grey T-shirt,Puma,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg,44.01,30,4.1,243
PROD-1855,1855,Inkfruit Mens Chain Reaction T-shirt,Inkfruit,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg,53.42,30,3.8,276
PROD-30805,30805,Fabindia Men Striped Green Shirt,Fabindia,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,https://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg,56.9,49,3.9,285
PROD-26960,26960,Jealous 21 Women Purple Shirt,Jealous,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg,58.06,45,4.6,177
PROD-29114,29114,Puma Men Pack of 3 Socks,Puma,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg,22.89,31,4.0,18
PROD-30039,30039,Skagen Men Black Watch,Skagen,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg,317.65,33,4.3,64
PROD-9204,9204,Puma Men Future Cat Remix SF Black Casual Shoes,Puma,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg,137.81,43,4.1,27
PROD-48123,48123,Fossil Women Black Huarache Weave Belt,Fossil,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg,32.56,32,4.6,14
PROD-18653,18653,Fila Men Cush Flex Black Slippers,Fila,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg,88.99,46,3.7,205
PROD-47957,47957,Murcia Women Blue Handbag,Murcia,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg,119.86,9,4.9,221
PROD-46885,46885,Ben 10 Boys Navy Blue Slippers,Ben,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg,165.97,36,4.9,145
